81.1892,132.068,-25.2003,1.19209e-7,1.19209e-7,1.19209e-7,129.666,122.23,-77.62,1.19209e-7,1.19209e-7,1.19209e-7,139.651,100.574,-88.6792,1.19209e-7,1.19209e-7,1.19209e-7,143.631,81.2881,-81.2114,1.19209e-7,1.19209e-7,1.19209e-7,145.491,64.811,-60.0189,1.19209e-7,1.19209e-7,1.19209e-7
80.254,121.644,-30.0207,191.603,-1183.88,-98.728,130.17,113.981,-80.8805,-249.979,-765.497,-242.866,140.441,93.1223,-90.607,-455.415,-658.871,-141.035,145.138,74.5996,-82.1191,-376.723,-536.167,4.15506,149.114,59.5064,-60.2503,299.145,-148.963,132.399
78.4939,122.888,-29.8538,-702.499,-169.586,-89.4875,126.887,116.72,-82.4816,-260.648,781.9,-140.976,136.527,95.9931,-92.8484,178.089,740.828,-177.083,139.712,76.0304,-85.3118,-19.8153,474.844,-360.456,143.991,59.717,-63.6713,-94.5749,112.545,-340.596
75.8905,124.512,-28.7942,-396.588,49.7471,-55.3346,123.629,120.585,-82.5988,-428.534,369.791,-32.6436,132.845,100.417,-93.9436,-367.949,579.241,-81.6672,135.797,80.314,-87.3355,-284.351,577.111,-183.722,139.885,62.6835,-66.5567,-699.35,271.202,-398.796
71.7619,125.628,-30.0379,-449.279,288.066,-211.394,120.535,124.445,-82.6684,-452.433,95.6847,-130.746,131.215,104.873,-93.8802,-363.348,191.582,-92.7909,134.81,84.6386,-87.423,-231.544,156.752,-59.2461,138.511,66.7722,-66.8038,-406.31,159.525,-104.424
65.4506,124.358,-31.882,-866.954,23.9295,-127.996,112.874,121.414,-86.4609,-910.608,-364.441,-410.428,123.9,101.49,-96.7764,-765.569,-393.072,-314.034,128.598,81.9606,-89.0984,-534.665,-369.232,-174.892,133.334,65.3935,-67.6037,-519.382,-261.508,-76.3695
58.8207,124.491,-33.896,-848.238,94.6092,-201.412,105.878,120.624,-89.3462,-809.778,-150.597,-325.029,117.165,100.659,-99.1619,-830.591,-185.819,-279.725,122.387,81.4218,-90.8762,-890.865,-186.684,-204.038,127.678,65.511,-69.0384,-669.129,-10.4121,-141.245
51.4485,127.402,-33.3345,-743.149,321.11,44.8572,97.1558,125.289,-89.9444,-815.159,442.427,-48.2383,108.53,105.713,-100.511,-843.249,467.726,-136.712,114.014,86.1633,-92.8925,-920.638,450.059,-216.742,119.823,69.6471,-71.6134,-783.988,361.99,-291.924
43.9006,132.341,-31.6446,-823.283,369.533,82.4022,87.2347,132.317,-90.5381,-865.429,832.54,-15.875,98.2989,113.084,-102.379,-850.12,768.864,-181.786,103.918,92.8955,-95.8529,-815.916,709.884,-316.868,110.337,75.1641,-75.688,-755.15,537.074,-445.784
37.378,135.143,-32.0138,-600.879,356.663,-74.0642,79.3953,135.997,-91.993,-695.716,369.472,-158.446,90.7038,116.93,-104.187,-698.055,384.796,-213.056,97.0746,96.7514,-97.8529,-561.032,472.703,-236.317,104.349,78.8757,-77.9599,-424.953,491.516,-251.087
